"","muni","county","year","area","pop","whitepct","blackpct","aapipct","otherpct","hispanicpct","households","medinc","povpct","lmi","dcamri","dcamrirank","ciprops","totunits","occunits","occpct","ownoct","rentoct","less75own","builtpost2010","built2000_2009","built1990_1999","built1980_1989","built1970_1979","built1960_1969","built1950_1959","built1940_1949","built_pre1939","singledetatched","singleattatched","duplex","triquadplex","units5_9","units10_19","units20more","mobile","boatrv","gas","elec","bottled_tank","fueloil","wood","otherfuels","workers","automobile","transit","taxi","moto","bike","walk","othertransport","workedhome","elecutil","reselec","commelec","induselec","streetelec","totelec","gasutil","resgas","commgas","indusgas","streetgas","totgas","reselecghg","commelecghg","induselecghg","streetelecghg","resgasghg","commgasghg","indusgasghg","streetgasghg","otherheatghg","vehiclesghg","totghg","mpo","lhtruck","shtruck","icbus","lightcommtruck","motorhome","motorcycles","passcars","passtrucks","refusetrucks","schoolbus","sulhtruck","sushtruck","transbus","totvmt","totpass","evs","pctev","commsolar","ressolar","othersolar","totsolar","kwsolar","units4less","totalproj","lifetimerate","commparcels","totalcommproj","lifetimecommrate"
"1","aberdeen township","Monmouth",2020,5.6,18729,0.77,0.09,0.07,0.07,0.13,7822,108132,0.03,0,20,389,187,8072,7822,0.97,0.76,0.25,0,685,393,720,1006,846,2442,1076,386,518,5236,661,200,434,410,558,573,0,0,0.83,0.13,0.01,0.03,0,0.01,10999,0.78,0.12,0,0,0,0.01,0.01,0.08,"JCPL",59539032,27512671,812017,754056,88617776,"NJNG",4952832,1062107,0,0,6014939,13295,6144,181,168,26379,5657,0,0,1468,73388,126681,"NJTPA","8987550.00","2242683.00","531122.00","5219262.00","191560.00","1019438.00","98786829.00","17045599.00","302527.00","672313.00","1186801.00","2905587.00","411348.00","139502619.00",14375,"64","0.0045",6,162,8,176,2535.23,6326,245,0.04,182,22,"0.12"
"2","absecon city","Atlantic",2020,7.2,8471,0.68,0.12,0.06,0.14,0.17,3109,69293,0.09,0,38,118,188,3542,3109,0.88,0.79,0.21,0,100,404,425,490,293,665,583,123,459,2483,427,121,24,136,179,113,59,0,0.86,0.07,0.01,0.04,0,0.01,3816,0.91,0.06,0,0,0,0,0,0.03,"ACE",34737469,27957231,0,510447,63205147,"SJG",2498445,1367073,0,0,3865518,7757,6243,0,114,13307,7281,0,0,1282,32488,68471,"SJTPO","1379005.00","679758.00","435233.00","3708680.00","17973.00","483859.00","25192020.00","27684850.00","51518.00","209523.00","803726.00","1525712.00","194268.00","62366131.00",5392,"20","0.0037",7,369,6,382,5398.63,3146,205,0.07,190,7,"0.04"
"3","alexandria township","Hunterdon",2020,27.7,4769,0.98,0,0.02,0,0.01,1766,127234,0.04,0,17,439,36,1848,1766,0.96,0.88,0.12,0,32,285,427,154,203,169,109,38,431,1771,15,0,19,0,0,43,0,0,0.09,0.03,0.36,0.51,0,0.01,2562,0.9,0.01,0,0,0,0.01,0,0.09,"JCPL",24097340,4408735,18400,24588,28549063,"ETG",0,0,0,0,0,5381,984,4,5,0,0,0,0,7363,13312,27049,"NJTPA","2160370.00","539082.00","127668.00","1254573.00","46046.00","245046.00","23745754.00","4097313.00","72720.00","161607.00","285276.00","698427.00","98877.00","33532759.00",4097,"19","0.0046",1,12,0,13,244.56,1807,16,0.01,36,3,"0.08"
"4","allamuchy township","Warren",2020,20.3,4640,0.89,0.07,0.03,0.01,0.06,2195,109212,0.02,0,18,415,19,2247,2195,0.98,0.87,0.13,0,355,351,194,563,596,119,30,0,39,758,1067,45,140,203,13,21,0,0,0.84,0.04,0.04,0.06,0.02,0.01,2305,0.86,0.01,0,0,0,0,0,0.13,"JCPL",20289839,5966937,836344,174101,27267221,"ETG",2392457,87794,613346,0,3093598,4531,1332,187,39,12743,468,3267,0,3008,16085,41659,"NJTPA","2267308.00","565766.00","133987.00","1316674.00","48325.00","257176.00","24921165.00","4300130.00","76319.00","169606.00","299397.00","732999.00","103771.00","35192623.00",3912,"17","0.0043",1,5,4,10,588.23,2080,31,0.01,19,8,"0.42"
"5","allendale borough","Bergen",2020,3.1,6757,0.8,0.01,0.15,0.04,0.02,2235,157958,0.03,0,10,544,65,2444,2235,0.91,0.77,0.23,0,140,47,405,207,160,458,520,31,476,1662,248,108,24,12,0,390,0,0,0.91,0.04,0.01,0.04,0,0,2907,0.64,0.19,0,0,0,0.02,0,0.15,"RECO/PSEG",28392440,26121007,0,113678,54627125,"PSEG",3385514,1150530,3332,0,4539376,6340,5833,0,25,18032,6128,18,0,571,30926,67872,"NJTPA","1489770.00","377723.00","107510.00","1726799.00","32288.00","353214.00","45353628.00","5769755.00","118349.00","136564.00","392225.00","969631.00","84694.00","56912150.00",4321,"60","0.0139",3,12,2,17,2049.47,2188,46,0.02,64,17,"0.27"
"6","allenhurst borough","Monmouth",2020,0.3,492,0.87,0.01,0.02,0.1,0.05,191,100625,0.03,0,13,510,27,329,191,0.58,0.65,0.35,1,6,7,13,25,18,1,14,24,221,262,2,20,7,11,27,0,0,0,0.82,0.16,0,0,0,0.02,230,0.82,0.1,0,0,0,0.03,0,0.05,"JCPL",5876198,2214905,18477,91362,8200942,"NJNG",516095,73381,0,0,589476,1312,495,4,20,2749,391,0,0,0,1891,6862,"NJTPA","221479.00","55266.00","13088.00","128618.00","4721.00","25122.00","2434390.00","420052.00","7455.00","16568.00","29246.00","71602.00","10137.00","3437744.00",327,"13","0.0398",2,8,0,10,62.91,307,3,0.01,28,2,"0.07"
"7","allentown borough","Monmouth",2020,0.6,1740,0.89,0.07,0,0.04,0.04,676,100769,0.03,0,17,440,39,697,676,0.97,0.77,0.23,0,0,5,50,20,170,63,130,42,217,547,46,25,8,27,44,0,0,0,0.8,0.12,0,0.07,0,0.01,959,0.88,0.01,0,0,0,0.03,0,0.08,"PSEG",6653337,4464395,151273,159352,11428357,"PSEG",511123,237465,5804,0,754392,1486,997,34,36,2722,1265,31,0,237,2813,9620,"NJTPA","752549.00","187785.00","44472.00","437021.00","16040.00","85360.00","8271657.00","1427269.00","25331.00","56294.00","99374.00","243292.00","34443.00","11680887.00",1361,"18","0.0132",11,184,7,202,3776.8,661,21,0.03,39,3,"0.08"
"8","alloway township","Salem",2020,33.9,3359,0.9,0.05,0.01,0.04,0.03,1203,86583,0.03,0,28,249,34,1298,1203,0.93,0.89,0.11,0,57,130,244,186,81,169,128,0,303,1241,0,11,38,0,0,0,8,0,0,0.13,0.14,0.51,0.13,0.09,1623,0.97,0,0,0,0,0,0.01,0.02,"ACE",11262278,2651070,0,92839,14006187,"SJG",13257,0,0,0,13257,2515,592,0,21,71,0,0,0,12836,13638,29672,"SJTPO","245783.00","300482.00","82282.00","1459127.00","9259.00","240564.00","9600149.00","13289758.00","14251.00","177509.00","164282.00","534256.00","64532.00","26180821.00",2766,"7","0.0025",NA,74,6,80,1066.75,1362,44,0.03,34,5,"0.15"
"9","alpha borough","Warren",2020,1.7,2141,0.91,0,0.01,0.07,0.08,948,75612,0.05,0,33,173,70,1053,948,0.9,0.66,0.34,0,0,45,52,105,129,200,135,65,322,708,145,47,49,13,29,56,0,6,0.58,0.11,0.01,0.3,0,0.01,1230,0.92,0,0,0,0,0.03,0.01,0.04,"JCPL",8418490,17536593,1589815,48480,27593378,"ETG",678291,474159,0,0,1152450,1880,3916,355,11,3613,2525,0,0,1517,10510,24326,"NJTPA","1436541.00","358463.00","84893.00","834230.00","30618.00","162944.00","15789766.00","2724513.00","48355.00","107461.00","189694.00","464420.00","65748.00","22297646.00",1741,"4","0.0023",2,23,1,26,11009.64,928,107,0.12,71,9,"0.13"
"10","alpine borough","Bergen",2020,6.4,1459,0.61,0.03,0.32,0.03,0.07,518,161346,0.06,0,15,466,18,572,518,0.91,0.88,0.12,0,21,62,78,170,48,84,46,20,43,556,5,1,0,10,0,0,0,0,0.9,0.07,0.01,0.02,0,0,576,0.84,0.07,0.01,0,0,0.01,0,0.08,"RECO",20250252,5072901,0,43235,25366388,"PSEG",2185929,108470,0,0,2294399,4522,1133,0,10,11643,578,0,0,92,4882,22859,"NJTPA","308982.00","78662.00","17784.00","365668.00","7116.00","40168.00","9595838.00","1208387.00","26491.00","30563.00","94074.00","231840.00","13976.00","12019549.00",1095,"56","0.0511",NA,14,1,15,159.57,595,11,0.02,18,7,"0.39"
