muni,county,year,elecutil,reselec,commelec,induselec,streetelec,totelec,gasutil
Aberdeen township,Monmouth,2015,JCPL,58511214.00,30960848.00,1540796.00,756828.00,91769686.00,NJNG
Aberdeen township,Monmouth,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG
Aberdeen township,Monmouth,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG
Aberdeen township,Monmouth,2018,JCPL,58693247.00,30611468.00,605543.00,753090.00,90663348.00,NJNG
Aberdeen township,Monmouth,2019,JCPL,57669637.00,30280678.00,680672.00,754056.00,89385043.00,NJNG
Aberdeen township,Monmouth,2020,JCPL,59539032.00,27512671.00,812017.00,754056.00,88617776.00,NJNG
Aberdeen township,Monmouth,2021,JCPL,61144726.00,27735631.00,837496.00,754056.00,90471909.00,NJNG
Absecon city,Atlantic,2015,ACE,37043312.00,35627791.00,NDA,463972.00,73135075.00,SJG
Absecon city,Atlantic,2016,ACE,35064773.00,33972514.00,NDA,472165.00,69509452.00,SJG
Absecon city,Atlantic,2017,ACE,32920965.00,33410425.00,NDA,497739.00,66829129.00,SJG
Absecon city,Atlantic,2018,ACE,35642558.00,32764562.00,NDA,501692.00,68908812.00,SJG
Absecon city,Atlantic,2019,ACE,34315354.00,31774466.00,NDA,512358.00,66602178.00,SJG
Absecon city,Atlantic,2020,ACE,34737469.00,27957231.00,NDA,510447.00,63205147.00,SJG
Absecon city,Atlantic,2021,ACE,34951610.00,29448480.00,NDA,509508.00,64909598.00,SJG
Alexandria township,Hunterdon,2015,JCPL,23711407.00,6022846.00,20240.00,24588.00,29779081.00,ETG
Alexandria township,Hunterdon,2016,JCPL,NDA,NDA,NDA,NDA,NDA,ETG
Alexandria township,Hunterdon,2017,JCPL,NDA,NDA,NDA,NDA,NDA,ETG
Alexandria township,Hunterdon,2018,JCPL,24194813.00,5109776.00,28640.00,24588.00,29357817.00,ETG
Alexandria township,Hunterdon,2019,JCPL,23397455.00,5104664.00,13400.00,24588.00,28540107.00,ETG
Alexandria township,Hunterdon,2020,JCPL,24097340.00,4408735.00,18400.00,24588.00,28549063.00,ETG
Alexandria township,Hunterdon,2021,JCPL,24574772.00,4641731.00,62080.00,24588.00,29303171.00,ETG
Allamuchy township,Warren,2015,JCPL,20730321.00,6870813.00,877761.00,163374.00,28642269.00,ETG
Allamuchy township,Warren,2016,JCPL,NDA,NDA,NDA,NDA,NDA,ETG
Allamuchy township,Warren,2017,JCPL,NDA,NDA,NDA,NDA,NDA,ETG
Allamuchy township,Warren,2018,JCPL,19826158.00,6130264.00,868667.00,166544.00,26991633.00,ETG
Allamuchy township,Warren,2019,JCPL,19427553.00,6216614.00,906539.00,170969.00,26721675.00,ETG
Allamuchy township,Warren,2020,JCPL,20289839.00,5966937.00,836344.00,174101.00,27267221.00,ETG
Allamuchy township,Warren,2021,JCPL,20518656.00,5861348.00,728512.00,174288.00,27282804.00,ETG
Allendale borough,Bergen,2015,RECO/PSEG,28346006.00,29338256.00,NDA,NDA,57684262.00,PSEG
Allendale borough,Bergen,2016,RECO/PSEG,28068829.00,31480444.00,NDA,NDA,59549273.00,PSEG
Allendale borough,Bergen,2017,RECO/PSEG,26736094.00,31173292.00,NDA,NDA,57909386.00,PSEG
Allendale borough,Bergen,2018,RECO/PSEG,28070368.00,30061589.00,NDA,112628.00,58244585.00,PSEG
Allendale borough,Bergen,2019,RECO/PSEG,26663680.00,28432955.00,NDA,112436.00,55209071.00,PSEG
Allendale borough,Bergen,2020,RECO/PSEG,28392440.00,26121007.00,NDA,113678.00,54627125.00,PSEG
Allendale borough,Bergen,2021,RECO/PSEG,28222487.00,26979694.00,NDA,112185.00,55314366.00,PSEG
Allenhurst borough,Monmouth,2015,JCPL,4924969.00,5445009.00,20020.00,91599.00,10481597.00,NJNG
Allenhurst borough,Monmouth,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG
Allenhurst borough,Monmouth,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG
Allenhurst borough,Monmouth,2018,JCPL,5074239.00,2700924.00,17463.00,83479.00,7876105.00,NJNG
Allenhurst borough,Monmouth,2019,JCPL,4903906.00,2527909.00,17688.00,91068.00,7540571.00,NJNG
Allenhurst borough,Monmouth,2020,JCPL,5876198.00,2214905.00,18477.00,91362.00,8200942.00,NJNG
Allenhurst borough,Monmouth,2021,JCPL,5832469.00,2483311.00,16189.00,91572.00,8423541.00,NJNG
Allentown borough,Monmouth,2015,PSEG,6813249.00,5353789.00,229908.00,216072.00,12613018.00,PSEG
Allentown borough,Monmouth,2016,PSEG,6715178.00,5197437.00,237658.00,206511.00,12356784.00,PSEG
Allentown borough,Monmouth,2017,PSEG,6478881.00,5045898.00,261792.00,185440.00,11972011.00,PSEG
Allentown borough,Monmouth,2018,PSEG,6931898.00,5349768.00,231446.00,206210.00,12719322.00,PSEG
Allentown borough,Monmouth,2019,PSEG,6573025.00,5017867.00,216393.00,209446.00,12016731.00,PSEG
Allentown borough,Monmouth,2020,PSEG,6653337.00,4464395.00,151273.00,159352.00,11428357.00,PSEG
Allentown borough,Monmouth,2021,PSEG,6667524.00,4810877.00,66462.00,158961.00,11703824.00,PSEG
Alloway township,Salem,2015,ACE,12836529.00,3391212.00,NDA,75106.00,16302847.00,SJG
Alloway township,Salem,2016,ACE,12092878.00,3176279.00,NDA,81379.00,15350536.00,SJG
Alloway township,Salem,2017,ACE,11385483.00,3031162.00,NDA,84946.00,14501591.00,SJG
Alloway township,Salem,2018,ACE,11947390.00,3053965.00,NDA,90754.00,15092109.00,SJG
Alloway township,Salem,2019,ACE,11273602.00,2935467.00,NDA,92865.00,14301934.00,SJG
Alloway township,Salem,2020,ACE,11262278.00,2651070.00,NDA,92839.00,14006187.00,SJG
Alloway township,Salem,2021,ACE,11257923.00,2851168.00,NDA,92818.00,14201909.00,SJG
