muni,county,year,resgas,commgas,indusgas,streetgas,totgas
Aberdeen township,Monmouth,2015,5298920.00,1286144.00,CWC,NDA,6585064.00
Aberdeen township,Monmouth,2016,4612620.00,1031031.00,CWC,NDA,5643651.00
Aberdeen township,Monmouth,2017,4866813.00,1100490.00,CWC,NDA,5967303.00
Aberdeen township,Monmouth,2018,5596974.00,1277890.00,CWC,NDA,6874864.00
Aberdeen township,Monmouth,2019,5322271.00,1235871.00,CWC,NDA,6558142.00
Aberdeen township,Monmouth,2020,4952832.00,1062107.00,CWC,NDA,6014939.00
Aberdeen township,Monmouth,2021,5163106.00,1188122.00,CWC,NDA,6351228.00
Absecon city,Atlantic,2015,2739186.00,2094018.00,NDA,NDA,4833203.00
Absecon city,Atlantic,2016,2375988.00,1771235.00,NDA,NDA,4147223.00
Absecon city,Atlantic,2017,2366786.00,1853163.00,NDA,NDA,4219949.00
Absecon city,Atlantic,2018,2854823.00,2014647.00,NDA,NDA,4869471.00
Absecon city,Atlantic,2019,2661504.00,1750723.00,NDA,NDA,4412227.00
Absecon city,Atlantic,2020,2498445.00,1367073.00,NDA,NDA,3865518.00
Absecon city,Atlantic,2021,2566569.00,1518760.00,NDA,NDA,4085329.00
Alexandria township,Hunterdon,2015,NDA,NDA,NDA,NDA,0.00
Alexandria township,Hunterdon,2016,NDA,NDA,NDA,NDA,0.00
Alexandria township,Hunterdon,2017,NDA,NDA,NDA,NDA,0.00
Alexandria township,Hunterdon,2018,NDA,NDA,NDA,NDA,0.00
Alexandria township,Hunterdon,2019,NDA,NDA,NDA,NDA,0.00
Alexandria township,Hunterdon,2020,NDA,NDA,NDA,NDA,0.00
Alexandria township,Hunterdon,2021,NDA,NDA,NDA,NDA,0.00
Allamuchy township,Warren,2015,1423922.00,49181.00,NDA,NDA,1473103.00
Allamuchy township,Warren,2016,1453969.00,50358.00,NDA,NDA,1504327.00
Allamuchy township,Warren,2017,1573053.00,56360.00,NDA,NDA,1629413.00
Allamuchy township,Warren,2018,1814281.00,65013.00,NDA,NDA,1879294.00
Allamuchy township,Warren,2019,1736972.00,70243.00,NDA,NDA,1807215.00
Allamuchy township,Warren,2020,2392457.00,87794.00,613346.00,NDA,3093598.00
Allamuchy township,Warren,2021,3397057.00,113509.00,620752.00,NDA,4131318.00
Allendale borough,Bergen,2015,3623971.00,1274183.00,39453.00,NDA,4937607.00
